COMPOSER composition title,composer(abbrev),composition
DEBUSSY Suite bergamasque: III. Clair de lune (8.550253),DEBUSSY,Suite bergamasque: III. Clair de lune
PUCCINI Tosca: Recondita armonia (8.660001-02),PUCCINI,Tosca: Recondita armonia
"R STRAUSS Der Rosenkavalier Suite, Op. 59, TrV 227 (8.572041)",R STRAUSS,"Der Rosenkavalier Suite, Op. 59, TrV 227"
TCHAIKOVSKY Sleeping Beauty: Waltz (8.550079),TCHAIKOVSKY,Sleeping Beauty: Waltz
"TRADITIONAL On Christmas Night, ""Sussex Carol"" (arr. D. Willcocks for choir) (Chandos CHAN8973)",TRADITIONAL,"On Christmas Night, ""Sussex Carol"""
SATIE 4ieme Gnossienne: Lent (8.550305),SATIE,4ieme Gnossienne: Lent
"LISZT Piano Concerto No. 1 in E-flat major, S124/R455 (8.550292)",LISZT,"Piano Concerto No. 1 in E-flat major, S124/R455"
WAGNER Tannhauser: Overture (8.550136),WAGNER,Tannhauser: Overture
"VERDI La Traviata: Libiamo ne'lieti calici, ""Drinking Song"" (8.660011-12)",VERDI,"La Traviata: Libiamo ne'lieti calici, ""Drinking Song"""
"JS BACH Cello Suite No. 3 in C major, BWV 1009: I. Prelude (8.557280-81)",JS BACH,"Cello Suite No. 3 in C major, BWV 1009: I. Prelude"
"BEETHOVEN Symphony No. 9 in D minor, Op. 125, ""Choral"": IV. Finale (8.553478)",BEETHOVEN,"Symphony No. 9 in D minor, Op. 125, ""Choral"": IV. Finale"
"MOZART Divertimento in F major, K. 522, ""Ein musikalischer Spass"" (""A Musical Joke"") (8.550437)",MOZART,"Divertimento in F major, K. 522, ""Ein musikalischer Spass"""
"MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": I. Allegro (8.550026)",MOZART,"Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": I. Allegro"
"MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": II. Romanze (8.550026)",MOZART,"Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": II. Romanze"
"MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": III. Menuetto (8.550026)",MOZART,"Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": III. Menuetto"
"BOCCHERINI String Quintet in E major, G. 275: III. Minuetto (8.550731)",BOCCHERINI,"String Quintet in E major, G. 275: III. Minuetto"
LEONCAVALLO I Pagliacci: Vesti la giubba (8.660021),LEONCAVALLO,I Pagliacci: Vesti la giubba
"MENDELSSOHN A Midsummer Night's Dream: Wedding March, Op. 61, No. 4 (8.554433)",MENDELSSOHN,"A Midsummer Night's Dream: Wedding March, Op. 61, No. 4"
WAGNER Lohengrin: Bridal Chorus (8.550507),WAGNER,Lohengrin: Bridal Chorus
VERDI La Traviata: Sempre libera degg'io (8.660011-12),VERDI,La Traviata: Sempre libera degg'io
"J STRAUSS II An der schonen, blauen Donau (The Beautiful Blue Danube), Op. 314 (8.550152)",J STRAUSS II,"An der schonen, blauen Donau"
"HANDEL Music for the Royal Fireworks, HWV 351: I. Overture (8.557764)",HANDEL,"Music for the Royal Fireworks, HWV 351: I. Overture"
"MOZART Exsultate, jubilate, K. 165 (8.550495)",MOZART,"Exsultate, jubilate, K. 165"
"MOZART Requiem in D minor, K. 626 (8.550235)",MOZART,"Requiem in D minor, K. 626"
"SCHUBERT Heidenroslein, Op. 3, No. 3, D. 257 (8.550476)",SCHUBERT,"Heidenroslein, Op. 3, No. 3, D. 257"
"VIVALDI The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"" (Summer): III. Presto (8.550056)",VIVALDI,"The 4 Seasons: Violin Concerto in G minor, Op. 8, No. 2, RV 315, ""L'estate"""
