naxos movie title,movie title,imdb movie title,year,genre
Murder! (1930),Murder!,Murder!,1930,"Crime,Mystery,Thriller"
M (1931),M,M,1931,"Crime,Mystery,Thriller"
Mummy (The) (1932),Mummy,The Mummy,1932,"Fantasy,Horror"
Romeo and Juliet (1936),Romeo and Juliet,Romeo and Juliet,1936,"Drama,Romance"
Wife vs. Secretary (1936),Wife vs. Secretary,Wife vs. Secretary,1936,"Comedy,Drama,Romance"
Champagne Waltz (1937),Champagne Waltz,Champagne Waltz,1937,Comedy
"Goodbye, Mr. Chips (1939)","Goodbye, Mr. Chips","Goodbye, Mr. Chips",1939,"Drama,Romance"
Wizard of Oz (The) (1939),Wizard of Oz,The Wizard of Oz,1939,"Adventure,Family,Fantasy"
Fantasia (1940),Fantasia,Fantasia,1940,"Animation,Family,Fantasy"
Great Dictator (The) (1940),Great Dictator,The Great Dictator,1940,"Comedy,Drama,War"
Waterloo Bridge (1940),Waterloo Bridge,Waterloo Bridge,1940,"Drama,Romance,War"
Citizen Kane (1941),Citizen Kane,Citizen Kane,1941,"Drama,Mystery"
Men of Boys Town (1941),Men of Boys Town,Men of Boys Town,1941,Drama
"Now, Voyager (1942)","Now, Voyager","Now, Voyager",1942,"Drama,Romance"
Saboteur (1942),Saboteur,Saboteur,1942,"Thriller,War"
Heavenly Body (The) (1944),Heavenly Body,The Heavenly Body,1944,"Comedy,Romance"
Shadow of a Doubt (1943),Shadow of a Doubt,Shadow of a Doubt,1943,"Film-Noir,Thriller"
Double Indemnity (1944),Double Indemnity,Double Indemnity,1944,"Crime,Drama,Film-Noir"
Gaslight (1944),Gaslight,Gaslight,1944,"Crime,Drama,Mystery"
Brief Encounter (1945),Brief Encounter,Brief Encounter,1945,"Drama,Romance"
Beast with Five Fingers (1946),Beast with Five Fingers,The Beast with Five Fingers,1946,"Horror,Mystery"
Humoresque (1946),Humoresque,Humoresque,1946,"Drama,Music,Romance"
Two Sisters from Boston (1946),Two Sisters from Boston,Two Sisters from Boston,1946,"Comedy,Musical"
Magic Bow (The) (1946),Magic Bow,The Magic Bow,1946,"Biography,Musical,Romance"
Red Shoes (The) (1948),Red Shoes,The Red Shoes,1948,"Drama,Music,Romance"
Rope (1948),Rope,Rope,1948,"Crime,Drama,Mystery"
Unfaithfully Yours (1948),Unfaithfully Yours,Unfaithfully Yours,1948,"Comedy,Music,Romance"
Kind Hearts and Coronets (1949),Kind Hearts and Coronets,Kind Hearts and Coronets,1949,"Comedy,Crime"
My Foolish Heart (1949),My Foolish Heart,My Foolish Heart,1949,"Drama,Romance"
All About Eve (1950),All About Eve,All About Eve,1950,Drama
Sunset Blvd. (1950),Sunset Blvd.,Sunset Blvd.,1950,"Drama,Film-Noir"
Great Caruso (The) (1951),Great Caruso,The Great Caruso,1951,"Biography,Drama,Music"
Strangers on a Train (1951),Strangers on a Train,Strangers on a Train,1951,"Crime,Drama,Film-Noir"
Elephant Walk (1953),Elephant Walk,Elephant Walk,1953,"Adventure,Drama"
Glenn Miller Story (The) (1954),Glenn Miller Story,The Glenn Miller Story,1954,"Biography,Drama,Music"
Rhapsody (1954),Rhapsody,Rhapsody,1954,"Drama,Musical,Romance"
Three Coins in the Fountain (1954),Three Coins in the Fountain,Three Coins in the Fountain,1954,"Drama,Romance"
Lone Ranger (1956),Lone Ranger,The Lone Ranger,1956,Western
Lone Ranger (1956),Lone Ranger,The Lone Ranger,1956,Western
Rebel Without a Cause (1955),Rebel Without a Cause,Rebel Without a Cause,1955,Drama
Seven Year Itch (The) (1955),Seven Year Itch,The Seven Year Itch,1955,"Comedy,Romance"
Anastasia (1956),Anastasia,Anastasia,1956,"Biography,Drama,History"
Invitation to the Dance (1956),Invitation to the Dance,Invitation to the Dance,1956,"Animation,Fantasy,Musical"
Green Man (The) (1956),Green Man,The Green Man,1956,Comedy
Cat on a Hot Tin Roof (1958),Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,1958,Drama
Vertigo (1958),Vertigo,Vertigo,1958,"Mystery,Romance,Thriller"
Nun's Story (The) (1959),Nun's Story,The Nun's Story,1959,Drama
Up Periscope (1959),Up Periscope,Up Periscope,1959,"Action,Drama,Romance"
Goodbye Again (1961),Goodbye Again,Goodbye Again,1961,"Drama,Romance"
"One, Two, Three (1961)","One, Two, Three","One, Two, Three",1961,Comedy
Through a Glass Darkly (1961),Through a Glass Darkly,Through a Glass Darkly,1961,Drama
Hatari! (1962),Hatari!,Hatari!,1962,"Action,Adventure,Comedy"
Loneliness of the Long Distance Runner (The) (1962),Loneliness of the Long Distance Runner,The Loneliness of the Long Distance Runner,1962,"Drama,Sport"
Longest Day (The) (1962),Longest Day,The Longest Day,1962,"Action,Drama,History"
Music Man (The) (1962),Music Man,The Music Man,1962,"Comedy,Family,Musical"
My Geisha (1962),My Geisha,My Geisha,1962,"Comedy,Drama,Romance"
Birds (The) (1963),Birds,The Birds,1963,"Drama,Horror,Mystery"
Irma la Douce (1963),Irma la Douce,Irma la Douce,1963,"Comedy,Romance"
L-Shaped Room (The) (1962),L-Shaped Room,The L-Shaped Room,1962,"Drama,Romance"
Curse of the Mummy's Tomb (The) (1964),Curse of the Mummy's Tomb,The Curse of the Mummy's Tomb,1964,Horror
Ipcress File (The) (1965),Ipcress File,The Ipcress File,1965,Thriller
Lady L (1965),Lady L,Lady L,1965,Comedy
Rasputin: The Mad Monk (1966),Rasputin: The Mad Monk,Rasputin: The Mad Monk,1966,"Biography,Drama,Horror"
Alphabet Murders (The) (1965),Alphabet Murders,The Alphabet Murders,1965,"Comedy,Crime,Mystery"
Torn Curtain (1966),Torn Curtain,Torn Curtain,1966,"Drama,Romance,Thriller"
Wrong Box (The) (1966),Wrong Box,The Wrong Box,1966,"Comedy,Crime"
Dirty Dozen (The) (1967),Dirty Dozen,The Dirty Dozen,1967,"Action,Adventure,War"
Elvira Madigan (1967),Elvira Madigan,Elvira Madigan,1967,"Biography,Drama,Romance"
Barbarella (1968),Barbarella,Barbarella,1968,"Adventure,Comedy,Fantasy"
Counterpoint (1967),Counterpoint,Counterpoint,1967,"Drama,Music,War"
Isadora (1968),Isadora,Isadora,1968,"Biography,Drama,Music"
Rosemary's Baby (1968),Rosemary's Baby,Rosemary's Baby,1968,"Drama,Horror"
Bob & Carol & Ted & Alice (1969),Bob & Carol & Ted & Alice,Bob & Carol & Ted & Alice,1969,"Comedy,Drama,Romance"
Oh! What a Lovely War (1969),Oh! What a Lovely War,Oh! What a Lovely War,1969,"Comedy,Musical,War"
Aristocats (The) (1970),Aristocats,The Aristocats,1970,"Adventure,Animation,Comedy"
Five Easy Pieces (1970),Five Easy Pieces,Five Easy Pieces,1970,Drama
Love Story (1970),Love Story,Love Story,1970,"Drama,Romance"
THX 1138 (1971),THX 1138,THX 1138,1971,"Drama,Sci-Fi,Thriller"
And Now for Something Completely Different (1971),And Now for Something Completely Different,And Now for Something Completely Different,1971,Comedy
Equinox (1970),Equinox,Equinox,1970,"Action,Adventure,Fantasy"
Death in Venice (1971),Death in Venice,Death in Venice,1971,"Drama,Romance"
Cowboys (The) (1972),Cowboys,The Cowboys,1972,"Adventure,Drama,Western"
Woman in Blue (The) (La Femme en bleu) (1973),Woman in Blue,The Woman in Blue,1973,"Comedy,Drama"
Godfather (1972),Godfather,The Godfather,1972,"Crime,Drama"
Ludwig (1973),Ludwig,Ludwig,1973,"Biography,Drama,History"
Badlands (1973),Badlands,Badlands,1973,"Action,Crime,Drama"
Exorcist (The) (1973),Exorcist,The Exorcist,1973,Horror
Serpico (1973),Serpico,Serpico,1973,"Biography,Crime,Drama"
Soylent Green (1973),Soylent Green,Soylent Green,1973,"Crime,Mystery,Sci-Fi"
Sting (The) (1973),Sting,The Sting,1973,"Comedy,Crime,Drama"
Zardoz (1974),Zardoz,Zardoz,1974,"Adventure,Fantasy,Sci-Fi"
Effi Briest (Fontane Effi Briest) (1974),Effi Briest,Effi Briest,1974,"Drama,History"
Gambler (The) (1974),Gambler,The Gambler,1974,"Crime,Drama"
Terminal Man (The) (1974),Terminal Man,The Terminal Man,1974,"Horror,Sci-Fi,Thriller"
Barry Lyndon (1975),Barry Lyndon,Barry Lyndon,1975,"Adventure,Drama,History"
Hindenburg (The) (1975),Hindenburg,The Hindenburg,1975,"Adventure,Drama,History"
Love and Death (1975),Love and Death,Love and Death,1975,"Comedy,War"
Picnic at Hanging Rock (1975),Picnic at Hanging Rock,Picnic at Hanging Rock,1975,"Drama,Mystery"
Rocky Horror Picture Show (The) (1975),Rocky Horror Picture Show,The Rocky Horror Picture Show,1975,"Comedy,Horror,Musical"
Rollerball (1975),Rollerball,Rollerball,1975,"Action,Sci-Fi,Sport"
All the President's Men (1976),All the President's Men,All the President's Men,1976,"Drama,History,Thriller"
Bugsy Malone (1976),Bugsy Malone,Bugsy Malone,1976,"Comedy,Crime,Family"
Man Who Fell to Earth (The) (1976),Man Who Fell to Earth,The Man Who Fell to Earth,1976,"Drama,Sci-Fi"
Marathon Man (1976),Marathon Man,Marathon Man,1976,"Crime,Thriller"
Annie Hall (1977),Annie Hall,Annie Hall,1977,"Comedy,Romance"
Demon Seed (1977),Demon Seed,Demon Seed,1977,"Horror,Sci-Fi"
Jabberwocky (1977),Jabberwocky,Jabberwocky,1977,"Adventure,Comedy,Fantasy"
Saturday Night Fever (1977),Saturday Night Fever,Saturday Night Fever,1977,"Drama,Music"
Spy Who Loved Me (The) (1977),Spy Who Loved Me,The Spy Who Loved Me,1977,"Action,Adventure,Thriller"
Turning Point (1977),Turning Point,The Turning Point,1977,"Drama,Romance"
Cheap Detective (The) (1978),Cheap Detective,The Cheap Detective,1978,"Comedy,Crime,Mystery"
Days of Heaven (1978),Days of Heaven,Days of Heaven,1978,"Drama,Romance"
Deer Hunter (1978),Deer Hunter,The Deer Hunter,1978,"Drama,War"
Foul Play (1978),Foul Play,Foul Play,1978,"Comedy,Mystery,Thriller"
Autumn Sonata (1978),Autumn Sonata,Autumn Sonata,1978,"Drama,Music"
National Lampoon's Animal House (Animal House) (1978),National Lampoon's Animal House,National Lampoon's Animal House,1978,Comedy
Alien (1979),Alien,Alien,1979,"Horror,Sci-Fi"
Apocalypse Now (1979),Apocalypse Now,Apocalypse Now,1979,"Drama,Mystery,War"
Tin Drum (The) (1979),Tin Drum,The Tin Drum,1979,"Drama,War"
Breaking Away (1979),Breaking Away,Breaking Away,1979,"Comedy,Drama,Sport"
Kramer vs. Kramer (1979),Kramer vs. Kramer,Kramer vs. Kramer,1979,Drama
Manhattan (1979),Manhattan,Manhattan,1979,"Comedy,Drama,Romance"
Meatballs (1979),Meatballs,Meatballs,1979,Comedy
Moonraker (1979),Moonraker,Moonraker,1979,"Action,Adventure,Sci-Fi"
My Brilliant Career (1979),My Brilliant Career,My Brilliant Career,1979,"Biography,Drama,Romance"
Altered States (1980),Altered States,Altered States,1980,"Horror,Sci-Fi,Thriller"
American Gigolo (1980),American Gigolo,American Gigolo,1980,"Crime,Drama,Mystery"
Atlantic City (1980),Atlantic City,Atlantic City,1980,"Crime,Drama,Romance"
Big Red One (The) (1980),Big Red One,The Big Red One,1980,"Drama,War"
Blue Lagoon (1980),Blue Lagoon,The Blue Lagoon,1980,"Adventure,Drama,Romance"
Blues Brothers (1980),Blues Brothers,The Blues Brothers,1980,"Action,Adventure,Comedy"
Elephant Man (The) (1980),Elephant Man,The Elephant Man,1980,"Biography,Drama"
Fame (1980),Fame,Fame,1980,"Drama,Music,Musical"
Heaven's Gate (1980),Heaven's Gate,Heaven's Gate,1980,"Adventure,Drama,Western"
Hopscotch (1980),Hopscotch,Hopscotch,1980,"Adventure,Comedy"
