A Man Called Ove (2015),['DEBUSSY Suite bergamasque: III. Clair de lune (8.550253)']
A Star is Born (2018),['PUCCINI Tosca: Recondita armonia (8.660001-02)']
A.I. (2001),"['R STRAUSS Der Rosenkavalier Suite, Op. 59, TrV 227 (8.572041)', 'TCHAIKOVSKY Sleeping Beauty: Waltz (8.550079)']"
About a Boy (2002),"['TRADITIONAL On Christmas Night, ""Sussex Carol"" (arr. D. Willcocks for choir) (Chandos\xa0CHAN8973)']"
About Schmidt (2002),['SATIE 4ieme Gnossienne: Lent (8.550305)']
Above Suspicion (1995),"['LISZT Piano Concerto No. 1 in E-flat major, S124/R455 (8.550292)']"
Absolute Power (1992),['WAGNER Tannhauser: Overture (8.550136)']
Accidental Love (2015),"['VERDI La Traviata: Libiamo ne\'lieti calici, ""Drinking Song"" (8.660011-12)']"
Accountant (The) (2016),"['JS BACH Cello Suite No. 3 in C major, BWV 1009: I. Prelude (8.557280-81)']"
Ace Ventura: Pet Detective (1994),"['BEETHOVEN Symphony No. 9 in D minor, Op. 125, ""Choral"": IV. Finale (8.553478)', 'MOZART Divertimento in F major, K. 522, ""Ein musikalischer Spass"" (""A Musical Joke"") (8.550437)', 'MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": I. Allegro (8.550026)', 'MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": II. Romanze (8.550026)', 'MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": III. Menuetto (8.550026)']"
Ace Ventura: When Nature Calls (1995),"['BOCCHERINI String Quintet in E major, G. 275: III. Minuetto (8.550731)', 'MOZART Serenade No. 13 in G major, K. 525, ""Eine kleine Nachtmusik"": I. Allegro (8.550026)']"
Action Jackson (1988),['LEONCAVALLO I Pagliacci: Vesti la giubba (8.660021)']
Addams Family Values (1993),"[""MENDELSSOHN A Midsummer Night's Dream: Wedding March, Op. 61, No. 4 (8.554433)"", 'WAGNER Lohengrin: Bridal Chorus (8.550507)']"
"Adventures of Priscilla, Queen of the Desert (The) (1994)","[""VERDI La Traviata: Sempre libera degg'io (8.660011-12)""]"
Adventures of Rocky and Bullwinkle (2000),"['J STRAUSS II An der schonen, blauen Donau (The Beautiful Blue Danube), Op. 314 (8.550152)']"
