ADAM Giselle: Apparition de Giselle (8.550755-56),['Red Shoes (The) (1948))']
"ADAM Giselle: Entree d'Hilarion, scene et fugue des Wilis (8.550755-56)",['Red Shoes (The) (1948))']
ADAM Giselle: Pas de deux des jeunes paysans (8.550755-56),['Red Shoes (The) (1948))']
ADAM Giselle: Pas des premieres Wilis (8.550755-56),['Red Shoes (The) (1948))']
ADAMS China Gates (8.559285),['Call Me by Your Name (2017))']
ADAMS Christian Zeal and Activity (Nonesuch 075597914467),['Shutter Island (2010))']
ADAMS Hallelujah Junction (8.559285),['Call Me by Your Name (2017))']
ADAMS Harmonium: No. 3. Wild Nights (Nonesuch 603497121168),['Birdman: Or (The Unexpected Virtue of Ignorance) (2014))']
ADAMS Phrygian Gates (8.559285),['Call Me by Your Name (2017))']
The Death of Klinghoffer: Chorus of the Exiled Palestinians (Nonesuch 603497121168,['Birdman: Or (The Unexpected Virtue of Ignorance) (2014))']
ADES Souvenir (8.574109),['Colette (2018))']
ALBENIZ Asturias (8.553999),['Talk of Angels (1998))']
"ALBENIZ Chant d'Espagne, Op. 232: No. 4. Cordoba (Ondine ODE752-2)",['Girlfight (2000))']
ALBINONI Adagio (8.550014),"['Doors (The) (1991)', 'Gallipoli (1981)', 'Inbetweeners 2 (The) (2014)', 'Rio das Mortes (1971)', 'Rollerball (1975)', 'Welcome to Sarajevo (1997))']"
ALBINONI Adagio in G minor (attrib. to Albinoni) (8.550014),['Death Do Us Part (2019))']
"ALBINONI Oboe Concerto in B-flat major, Op. 9, No. 11 (8.550739)",['Elle (2016))']
"ALBINONI Oboe Concerto in C major, Op. 7, No. 12 (8.553035)",['Peter Rabbit (2018))']
ALFVEN Swedish Rhapsody No. 1 (8.550090),"[""Young Poisoner's Handbook (The) (1995))""]"
ALLEGRI Miserere mei (8.550827),"['Anatomy (2000)', ""Angela's Ashes  Chariots of Fire  Face/Off (1997)"", 'Maurice (1987)', ' Tout nouveau testament (Le) aka The Brand New Testament (2015)', 'Two Popes (The) (2019))']"
L ANDERSON Sleigh Ride (8.559125),"['Girl, Interrupted (1999))']"
"ARENSKY Suites for 2 Pianos Nos. 1-5: Suite No. 1 in F Major, Op. 15 (Marco Polo 8.223497)",['Anastasia (1956))']
ARNE Rule Brittania (8.553961),"['Alphabet Murders (The) (1965)', 'BFG (The) (2016)', 'Charge of the Light Brigade (The)', 'Into the Arms of Strangers (2007)', 'Minions (2015)', 'Three Men and a Little Lady (1990))']"
"CPE BACH Keyboard Sonata in E Major, Wq. 48/3, H. 26, ""Prussian Sonata No. 3"" (8.572674)",['Casanova (2015))']
JC BACH Sinfonia in E-flat major: II. Andante con sordini (8.553085),['Vertigo (1958))']
JC BACH String Quartet in B-flat major: II. Rondeau (8.557361),['Only You (1994))']
"JS BACH Anna Magdalena Notenbuch (Clavier-Buchlein III): Bist du bei mir, BWV 508 (attrib. G.H. Stolzel) (8.553751)",['Gotter der Pest (Gods of the Plague) (1970))']
JS BACH Ave Maria (8.553751),"['28 Days Later (2002)', 'Mad Dogs and Englishmen (1995))']"
"Brandenburg Concerto No. 1 in F major, BWV 1046: I. Allegro (8.554607","['Rounders (1988)', 'Running on Empty)']"
"JS BACH Brandenburg Concerto No. 1 in F major, BWV 1046: III. Allegro (8.554607)",['Rounders (1988))']
"JS BACH Brandenburg Concerto No. 2 in F major, BWV 1047 (8.554607)","[""Romy and Michele's High School Reunion (1997))""]"
"JS BACH Brandenburg Concerto No. 2 in F major, BWV 1047: II. Andante (8.554607)","['Black and White (1999)', 'Island of Dr Moreau (The))']"
"JS BACH Brandenburg Concerto No. 3 in G major, BWV 1048 (8.554607)",['Boxing Helena (1993))']
